customer_id,region,city,cap
3aaee00fc9ce5f6dbbd2f378254f7f65,Veneto,Treviso,12321
b828fa53202efa901b22f532577fe859,Piemonte,Torino,23052
280aa7f3ab12ed7c00216fb78fa0d065,Emilia Romagna,Rimini,7072
97b9cfe8bd0140421d5247237594b5d3,Piemonte,Torino,23585
939c6ecf27d8c32e7956b4a2a468326d,Emilia Romagna,Ferrara,9240
8610db3f7a37d8a445f5649be9343960,Puglia,Brindisi,27213
8b28d65024bde74b024ae8c9326adf50,Piemonte,Alessandria,22793
e4b6766132b13b3ab3edd2b7be4b915e,Emilia Romagna,Modena,12286
b68c905ab520e155e3e405bbf8dc1bb0,Piemonte,Asti,23095
78dbd9bbc19efcbc2dc802f2fcf30d9c,Puglia,Bari,24220
7a30312430d50a32a7977af30f98100f,Calabria,Vibo Valentia,35162
bb10386818dda2842a580048ccb08fe2,Calabria,Vibo Valentia,37500
a19ca530fbc46743d5a951219cf04f2c,Piemonte,Cuneo,20920
777db3a2a4f052af7bbaafbc2c31e35e,Emilia Romagna,Rimini,7252
a125a54036b56ceb4c73638eda0f18aa,Puglia,Lecce,26015
856d87f37ded3711e685ea724e5ca248,Puglia,Foggia,28495
6747dabc507b18f4a1300777643744d7,Calabria,Catanzaro,38411
dee7ac1315330a02d049ad3b108c7ad4,Calabria,Catanzaro,38410
34d8e7fbd4ef064dc9fef296b5a69931,Puglia,Foggia,25949
5bde57569eb8318a2306865d06de2bfb,Sardegna,Cagliari,90450
93e0dbadcb03b5b82294f9a7dfd303e5,Sardegna,Cagliari,90620
6ed3a6f46ef83d356e7152ac4a4388db,Liguria,La Spezia,80060
7927dfaf0bee1bf23b4e9203355497c0,Sardegna,Oristano,96810
b1dc05bae2f03544e45370080331bf07,Marche,Ascoli Piceno,57084
2dce9a88e9782c5eb7a92dce1c1684ee,Calabria,Cosenza,36400
b8f8657742c599ec5864f8790e0381fa,Calabria,Reggio Calabria,30260
968e2eb4991b10dd284390b31df9d4f7,Calabria,Reggio Calabria,31110
591cb16ea1a6d8f7eebd0a349593bea2,Marche,Fermo,78015
4fc64c2ce4ee430857b759ef0242873a,Marche,Pesaro e Urbino,79500
5ac0a0fa20bc154ac58f78f00cc30c57,Calabria,Reggio Calabria,31260
33cb0e2958def1ed82a542a45b13c982,Umbria,Perugia,29124
b19d16198d11b08a0730eac3471345f0,Abruzzo,Chieti,89700
e5fe29371fab568cd043942ae42365ed,Abruzzo,Pescara,89228
884e5366e0a547ad944f0711a8e0839d,Basilicata,Potenza,74595
a1cd7aead5b4948681cfcf303b3b5845,Abruzzo,Teramo,88060
bb38dcdbc99e5fbf1ca0dc4f8c6b2f4e,Molise,Campobasso,60822
a18e4956844fab232555e2bfd53eca5e,Valle d'Aosta,Aosta,68745
f85c1412c63126bbfaa30cac5590c0aa,Valle d'Aosta,Aosta,66085
916cb5df0371f10f45ac0aa1f49f3651,Molise,Isernia,62320
5d8f7d35350a0802b7e4bea9671b132a,Umbria,Terni,29155
491b53d711e90db8195ba44d40bb83ac,Umbria,Terni,29026
787105d518a38470555bbfe1978b63f9,Liguria,Savona,85035
851406b866022c60fdb8a6e862808933,Liguria,Savona,85035
02dfd8931ac72171c45b5c8522cf4082,Campania,Salerno,5727
